As Of Date,Currency,Universe Name,Classification,,,,,,
09/09/25,USD,SINN TIER ONE,Asset Type > Sector,,,,,,
,,,,,,,,,
Long Name,Short Name,Pos,Px Close,Yield to Mat,Yield to Worst,Modified OA Duration,OAS,BCLASS1,Convex to Mty
AA 4 ⅛ 03/31/29,ALCOA NEDERLAND,-7.54642517,96.47776529,5.222467449,5.222467449,2.662572628,154.5108692,Corporate,0.12347385
AA 6 ⅛ 03/15/30,ALUMINA PTY LTD,-7.107982383,101.9155576,5.638132463,5.51749674,2.816347711,166.8290289,Corporate,0.177756089
AA 6 ⅜ 09/15/32,ALUMINA PTY LTD,-7.339792728,102.6602559,5.906038096,5.69800234,3.917812672,157.9832265,Corporate,0.371376397
AA 7 ⅛ 03/15/31,ALCOA NEDERLAND,-11.0600449,105.1713801,6.008976918,5.4864375,2.352971477,133.9651235,Corporate,0.242204965
AAL 5 ¾ 04/20/29,AMERICAN AIRLINE,-43.93874019,100.7668581,5.423411638,5.423411638,2.027059848,184.97673,Corporate,0.118623984
AAL 7 ¼ 02/15/28,AMERICAN AIRLINE,-11.22847638,102.5207738,6.115229276,5.39122093,0.675716488,119.0799363,Corporate,0.060979088
AAL 8 ½ 05/15/29,AMERICAN AIRLINE,-14.85756718,104.6307105,7.044467877,5.95406454,0.415530874,137.225514,Corporate,0.118140232
AAP 3.9 04/15/30,ADVANCE AUTO PAR,-7.569866666,92.73791262,5.717628296,5.717628296,4.023794368,210.6738007,Corporate,0.19509089
AAP 7 08/01/30,ADVANCE AUTO PAR,-13.62037714,103.0202702,6.271602468,6.11396639,3.102077409,223.3781568,Corporate,0.202756223
AAP 7 ⅜ 08/01/33,ADVANCE AUTO PAR,-14.83586209,103.0145957,6.872243743,6.64103256,4.401464389,242.5985951,Corporate,0.437203171
ABCSUP 3 ⅞ 11/15/29,ABC SUPPLY CO,-5.913334311,95.21912676,5.159460647,5.159460647,3.273466168,148.3241294,Corporate,0.166652504
ABCSUP 4 01/15/28,ABC SUPPLY CO,-10.12585789,98.40017374,4.725845445,4.725845445,1.707739497,102.1441223,Corporate,0.060264101
ABG 4 ½ 03/01/28,ASBURY AUTO GRP,-5.29256878,99.15557159,4.865712715,4.865712715,1.339051021,94.68892288,Corporate,0.066122378
ABG 4 ¾ 03/01/30,ASBURY AUTO GRP,-5.806545276,97.5803331,5.365018099,5.365018099,3.143566504,154.4955006,Corporate,0.18614832
ABG 4 ⅝ 11/15/29,ASBURY AUTO GRP,-11.72074779,97.36077371,5.335788541,5.335788541,2.767844571,150.2248482,Corporate,0.16326374
ABG 5 02/15/32,ASBURY AUTO GRP,-8.830498206,96.69086718,5.619925593,5.619925593,4.325533626,164.0168076,Corporate,0.340875668
ACA 4 ⅜ 04/15/29,ARCOSA INC,-5.835195993,97.12197688,5.262251811,5.262251811,2.654981944,155.3554622,Corporate,0.12547992
ACA 6 ⅞ 08/15/32,ARCOSA INC,-8.589137622,104.5275763,6.064050627,5.57476877,3.229023005,138.256355,Corporate,0.366551843
ACHC 5 04/15/29,ACADIA HEALTH,-6.463775356,98.27905558,5.53249548,5.53249548,2.000225747,160.92717,Corporate,0.123388826
ACHC 5 ½ 07/01/28,ACADIA HEALTH,-5.938512214,99.78897875,5.578741497,5.578741497,0.652347226,111.9286358,Corporate,0.080039624
ACHC 7 ⅜ 03/15/33,ACADIA HEALTH,-7.812095454,103.9360936,6.699448483,6.3577809,3.784462328,215.8755247,Corporate,0.394628183
ACI 3 ½ 03/15/29,ALBERTSONS COS,-19.63529126,95.49102784,4.912601451,4.912601451,2.876785999,130.5669774,Corporate,0.122919357
ACI 4 ⅝ 01/15/27,ALBERTSONS COS,-20.01556441,99.28819475,5.173913559,5.173913559,1.007656877,136.5267344,Corporate,0.022824962
ACI 4 ⅞ 02/15/30,ALBERTSONS COS,-14.93310089,98.61812902,5.227488936,5.227488936,3.030050583,135.5139083,Corporate,0.18220957
ACI 5 ⅞ 02/15/28,ALBERTSONS COS,-9.051021905,100.0218475,5.86296178,5.57980602,0.668869586,122.706301,Corporate,0.062135336
ACI 6 ¼ 03/15/33,ALBERTSONS COS,-9.051890109,102.8420394,5.778166198,5.52961043,4.027564652,134.5445565,Corporate,0.418756807
ACI 6 ½ 02/15/28,ALBERTSONS COS,-11.09737765,101.8272797,5.682062273,5.1549975,0.958890108,121.2019424,Corporate,0.061799939
ACM 6 08/01/33,AECOM TECHNOLOGY,-17.22168542,102.3762703,5.621404331,5.43787447,4.561483853,123.9205616,Corporate,0.469586633
ACOM 4 ¼ 06/01/28,ARCHES BUYER INC,-13.49275122,98.00458609,5.040272676,5.040272676,1.939590357,133.1678206,Corporate,0.077564917
ACOM 6 ⅛ 12/01/28,ARCHES BUYER INC,-7.311142011,97.76344351,6.905934362,6.905934362,1.94291256,302.836475,Corporate,0.098824318
ACRISU 4 ¼ 02/15/29,ACRISURE LLC,-10.25695662,96.48745116,5.383962032,5.383962032,2.643360198,171.4424766,Corporate,0.117214155
ACRISU 6 08/01/29,ACRISURE LLC,-7.538611338,98.79260345,6.352724834,6.352724834,1.989249495,222.0001778,Corporate,0.139625952
ACRISU 6 ¾ 07/01/32,ACRISURE LLC,-5.995813648,103.0384566,6.193341008,6.00925267,4.104382417,195.7439579,Corporate,0.35289206
ACRISU 7 ½ 11/06/30,ACRISURE LLC,-16.0140143,104.1701677,6.531552559,5.79295059,1.590377613,152.4444394,Corporate,0.214747976
